기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2015.01	합계	2,705,168	1,145,639	304,201	658,457	25,976	482,738	88,157
2015.01	광나루	209,080	79,005	42,671	82,095	4,668	-	641
2015.01	잠실	128,977	64,408	14,413	40,966	3,652	-	5,538
2015.01	뚝섬	700,240	281,780	81,467	141,730	7,528	138,299	49,436
2015.01	잠원	114,842	66,230	9,920	31,793	320	-	6,579
2015.01	반포	245,140	88,684	39,192	57,375	-	58,661	1,228
2015.01	이촌	164,538	78,090	26,670	54,830	-	-	4,948
2015.01	여의도	352,638	113,224	4,939	32,326	3,035	183,988	15,126
2015.01	양화	139,181	68,045	13,615	54,418	1,468	-	1,635
2015.01	망원	183,200	84,280	38,450	56,750	2,260	-	1,460
2015.01	난지	369,424	183,335	13,204	67,275	2,550	101,790	1,270
2015.01	강서	97,908	38,558	19,660	38,899	495	-	296
